Feature name,Standard gene name,Transcriptional plasticity
YAL059W,ECM1,0.610631204
YAL038W,CDC19,0.505522958
YAL036C,RBG1,1.082835794
YAL035W,FUN12,0.456734442
YAL025C,MAK16,0.802439941
YAL003W,EFB1,0.621807295
YAR073W,IMD1,0.58774832
YAR075W,-,0.577427042
YJL208C,NUC1,0.397916495
YJL198W,PHO90,0.414580729
YJL191W,RPS14B,0.701205257
YJL190C,RPS22A,1.934587768
YJL189W,RPL39,0.611722801
YJL188C,BUD19,0.496445503
YJL183W,MNN11,0.276244659
YJL177W,RPL17B,1.073525652
YJL148W,RPA34,0.827478026
YJL138C,TIF2,0.524398224
YJL136C,RPS21B,0.717233973
YJL125C,GCD14,0.366037045
YJL122W,ALB1,0.652542597
YJL109C,UTP10,0.70843326
YJL080C,SCP160,0.529463286
YJL069C,UTP18,0.696891366
YJL050W,MTR4,0.517218324
YJL033W,HCA4,0.57775134
YJL014W,CCT3,0.275519069
YJL002C,OST1,0.289114761
YJR002W,MPP10,0.48201489
YJR003C,MRX12,0.341415401
YJR007W,SUI2,0.414179894
YJR014W,TMA22,0.201772115
YJR041C,URB2,0.519125076
YJR043C,POL32,0.257650163
YJR063W,RPA12,0.587978666
YJR064W,CCT5,0.311548435
YJR071W,-,0.54536093
YJR070C,LIA1,1.111433218
YJR094W-A,RPL43B,1.460098861
YJR123W,RPS5,1.053412031
YJR124C,-,0.381240728
YJR143C,PMT4,0.597260023
YJR145C,RPS4A,0.910243653
YKL205W,LOS1,0.247522716
YKL181W,PRS1,0.502831129
YKL180W,RPL17A,0.738975731
YKL172W,EBP2,0.893837212
YKL156W,RPS27A,0.553212104
YKL154W,SRP102,0.237589446
YKL144C,RPC25,0.27258238
YKL143W,LTV1,0.832231581
YKL122C,SRP21,0.273070078
YKL110C,KTI12,0.265477023
YKL099C,UTP11,0.67397458
YKL082C,RRP14,0.643699401
YKL081W,TEF4,0.951085824
YKL080W,VMA5,0.314971615
YKL078W,DHR2,0.959483486
YKL056C,TMA19,0.640160076
YKL021C,MAK11,0.40044822
YKL009W,MRT4,1.203548943
YKL006W,RPL14A,0.901543641
YKR024C,DBP7,0.642276427
YKR025W,RPC37,0.311172015
YKR026C,GCN3,0.310949899
YKR043C,SHB17,0.335623617
YKR056W,TRM2,0.635954812
YKR057W,RPS21A,1.010431987
YKR059W,TIF1,0.498619184
YKR060W,UTP30,0.417760657
YKR079C,TRZ1,0.345269087
YKR081C,RPF2,0.824128688
YKR092C,SRP40,0.571486772
YKR094C,RPL40B,0.642516517
YLL044W,-,0.874463411
YLL045C,RPL8B,0.987176941
YLL038C,ENT4,0.229793298
YLL036C,PRP19,0.229176961
YLL035W,GRC3,0.457631375
YLL034C,RIX7,0.532617392
YLL011W,SOF1,0.618951738
YLL008W,DRS1,1.01196589
YLR002C,NOC3,0.599032797
YLR003C,CMS1,0.531801685
YLR009W,RLP24,0.925148723
YLR017W,MEU1,0.384538959
YLR029C,RPL15A,0.809229609
YLR044C,PDC1,0.551768293
YLR048W,RPS0B,1.132938088
YLR051C,FCF2,0.34509179
YLR060W,FRS1,0.447914525
YLR061W,RPL22A,0.901346377
YLR062C,BUD28,0.895633395
YLR063W,BMT6,0.397056043
YLR065C,ENV10,0.228487354
YLR073C,RFU1,0.36489603
YLR074C,BUD20,0.580328901
YLR075W,RPL10,0.57868663
YLR076C,-,0.501956645
YLR083C,EMP70,0.567647091
YLR129W,DIP2,0.777573874
YLR134W,PDC5,0.509919378
YLR146C,SPE4,0.286509572
YLR150W,STM1,0.625868995
YLR167W,RPS31,0.739085872
YLR172C,DPH5,0.391139546
