Feature name,Standard gene name,mRNA half-life
YAL059W,ECM1,8.0
YAL038W,CDC19,18.0
YAL036C,RBG1,12.0
YAL035W,FUN12,19.0
YAL025C,MAK16,10.0
YAL003W,EFB1,14.0
YAR073W,IMD1,18.0
YAR075W,-,17.0
YJL208C,NUC1,12.0
YJL198W,PHO90,10.0
YJL191W,RPS14B,20.0
YJL190C,RPS22A,12.0
YJL189W,RPL39,14.0
YJL188C,BUD19,15.0
YJL183W,MNN11,13.0
YJL177W,RPL17B,12.0
YJL148W,RPA34,11.0
YJL138C,TIF2,14.0
YJL136C,RPS21B,13.0
YJL125C,GCD14,11.0
YJL122W,ALB1,8.0
YJL109C,UTP10,11.0
YJL080C,SCP160,11.0
YJL069C,UTP18,10.0
YJL050W,MTR4,9.0
YJL033W,HCA4,8.0
YJL014W,CCT3,13.0
YJL002C,OST1,19.0
YJR002W,MPP10,10.0
YJR003C,MRX12,14.0
YJR007W,SUI2,13.0
YJR014W,TMA22,16.0
YJR041C,URB2,14.0
YJR043C,POL32,12.0
YJR063W,RPA12,8.0
YJR064W,CCT5,15.0
YJR071W,-,15.0
YJR070C,LIA1,9.0
YJR123W,RPS5,10.0
YJR124C,-,10.0
YJR143C,PMT4,10.0
YJR145C,RPS4A,12.0
YKL205W,LOS1,13.0
YKL181W,PRS1,13.0
YKL180W,RPL17A,11.0
YKL172W,EBP2,11.0
YKL156W,RPS27A,14.0
YKL154W,SRP102,10.0
YKL144C,RPC25,12.0
YKL143W,LTV1,15.0
YKL122C,SRP21,12.0
YKL110C,KTI12,16.0
YKL099C,UTP11,10.0
YKL082C,RRP14,13.0
YKL081W,TEF4,10.0
YKL080W,VMA5,17.0
YKL078W,DHR2,14.0
YKL056C,TMA19,15.0
YKL021C,MAK11,11.0
YKL009W,MRT4,14.0
YKL006W,RPL14A,12.0
YKR024C,DBP7,14.0
YKR025W,RPC37,12.0
YKR026C,GCN3,14.0
YKR043C,SHB17,17.0
YKR056W,TRM2,16.0
YKR057W,RPS21A,15.0
YKR059W,TIF1,14.0
YKR060W,UTP30,13.0
YKR079C,TRZ1,12.0
YKR081C,RPF2,11.0
YKR092C,SRP40,11.0
YKR094C,RPL40B,11.5
YLL045C,RPL8B,13.0
YLL038C,ENT4,13.0
YLL036C,PRP19,14.0
YLL035W,GRC3,16.0
YLL034C,RIX7,10.0
YLL011W,SOF1,11.0
YLL008W,DRS1,10.0
YLR002C,NOC3,10.0
YLR003C,CMS1,10.0
YLR009W,RLP24,10.0
YLR017W,MEU1,12.0
YLR029C,RPL15A,13.0
YLR044C,PDC1,16.0
YLR048W,RPS0B,11.0
YLR051C,FCF2,11.0
YLR060W,FRS1,19.0
YLR061W,RPL22A,14.0
YLR063W,BMT6,12.0
YLR065C,ENV10,12.0
YLR073C,RFU1,9.0
YLR074C,BUD20,12.0
YLR075W,RPL10,17.0
YLR076C,-,14.0
YLR083C,EMP70,11.0
YLR129W,DIP2,10.0
YLR134W,PDC5,16.0
YLR146C,SPE4,24.0
YLR150W,STM1,15.0
YLR167W,RPS31,15.0
YLR172C,DPH5,14.0
YLR175W,CBF5,13.0
YLR183C,TOS4,14.0
YLR185W,RPL37A,14.0
YLR186W,EMG1,15.0
YLR196W,PWP1,12.0
YLR197W,NOP56,12.0
YLR198C,-,12.0
YLR221C,RSA3,11.0
YLR222C,UTP13,12.0
YLR243W,GPN3,11.0
YLR249W,YEF3,11.0
YLR264W,RPS28B,14.0
YLR276C,DBP9,11.0
YLR291C,GCD7,15.0
YLR293C,GSP1,18.0
YLR325C,RPL38,20.0
YLR333C,RPS25B,12.0
YLR336C,SGD1,12.0
YLR340W,RPP0,16.0
YLR339C,-,29.0
YLR344W,RPL26A,11.0
YLR367W,RPS22B,28.8
YLR372W,ELO3,12.0
YLR388W,RPS29A,14.0
YLR397C,AFG2,13.0
YLR401C,DUS3,12.0
YLR405W,DUS4,14.0
YLR409C,UTP21,9.0
YLR412W,BER1,19.0
YLR413W,INA1,8.0
YLR432W,IMD3,9.0
YLR433C,CNA1,13.0
YLR435W,TSR2,10.0
YLR441C,RPS1A,12.5
YLR447C,VMA6,17.0
YLR448W,RPL6B,12.0
YLR449W,FPR4,13.0
YML106W,URA5,15.0
YML093W,UTP14,10.0
YML082W,-,12.0
YML080W,DUS1,11.0
YML073C,RPL6A,13.0
YML063W,RPS1B,11.0
YML060W,OGG1,11.0
YML056C,IMD4,11.0
YML043C,RRN11,16.0
YML026C,RPS18B,9.0
YML024W,RPS17A,12.0
