Domains,number,ID
GO:0000015,1,WBGene00011884
GO:0000109,1,WBGene00008403
GO:0000110,3,"WBGene00006963,WBGene00008140,WBGene00008665"
GO:0000111,1,WBGene00022296
GO:0000112,1,WBGene00013441
GO:0000118,14,"WBGene00000482,WBGene00001834,WBGene00001835,WBGene00001836,WBGene00001837,WBGene00001838,WBGene00005006,WBGene00007953,WBGene00009224,WBGene00009663,WBGene00010012,WBGene00013632,WBGene00018319,WBGene00022278"
GO:0000123,3,"WBGene00000366,WBGene00007028,WBGene00015001"
GO:0000124,10,"WBGene00006386,WBGene00006387,WBGene00006391,WBGene00006392,WBGene00006396,WBGene00007028,WBGene00011319,WBGene00020673,WBGene00021205,WBGene00021363"
GO:0000126,2,"WBGene00000271,WBGene00015091"
GO:0000127,3,"WBGene00011368,WBGene00014114,WBGene00021423"
GO:0000137,2,"WBGene00007703,WBGene00018017"
GO:0000138,8,"WBGene00001844,WBGene00002999,WBGene00004270,WBGene00006833,WBGene00007059,WBGene00008018,WBGene00015789,WBGene00020572"
