Domains,number,ID
GO:0000009,2,"WBGene00020375,WBGene00022629"
GO:0000014,4,"WBGene00000787,WBGene00001016,WBGene00003405,WBGene00008140"
GO:0000026,2,"WBGene00007556,WBGene00194986"
GO:0000030,7,"WBGene00001078,WBGene00007189,WBGene00010720,WBGene00017983,WBGene00018175,WBGene00020375,WBGene00020820"
GO:0000033,2,"WBGene00017282,WBGene00044623"
GO:0000035,2,"WBGene00013237,WBGene00018151"
GO:0000036,2,"WBGene00013237,WBGene00018151"
GO:0000049,35,"WBGene00000196,WBGene00000197,WBGene00001338,WBGene00001497,WBGene00002080,WBGene00002238,WBGene00003415,WBGene00004151,WBGene00005662,WBGene00005663,WBGene00006613,WBGene00007114,WBGene00007581,WBGene00008379,WBGene00008480,WBGene00009131,WBGene00009256,WBGene00010089,WBGene00011807,WBGene00012205,WBGene00012997,WBGene00013041,WBGene00013361,WBGene00014123,WBGene00016448,WBGene00016978,WBGene00017928,WBGene00018513,WBGene00018866,WBGene00019353,WBGene00021466,WBGene00021686,WBGene00022107,WBGene00022350,WBGene00022463"
GO:0000062,12,"WBGene00001153,WBGene00007680,WBGene00009818,WBGene00010052,WBGene00011731,WBGene00012457,WBGene00012765,WBGene00016655,WBGene00017125,WBGene00018949,WBGene00022191,WBGene00044603"
GO:0000064,1,WBGene00020422
GO:0000095,1,WBGene00008364
GO:0000104,1,WBGene00015391
GO:0000146,20,"WBGene00001830,WBGene00002035,WBGene00002036,WBGene00002037,WBGene00002038,WBGene00002039,WBGene00002040,WBGene00002041,WBGene00002348,WBGene00003514,WBGene00003515,WBGene00003776,WBGene00003777,WBGene00004969,WBGene00006789,WBGene00009730,WBGene00012437,WBGene00015968,WBGene00018377,WBGene00019064"
GO:0000149,33,"WBGene00004755,WBGene00004756,WBGene00004921,WBGene00004922,WBGene00004923,WBGene00004924,WBGene00004925,WBGene00004926,WBGene00006306,WBGene00006371,WBGene00006372,WBGene00006373,WBGene00006374,WBGene00006751,WBGene00006798,WBGene00007128,WBGene00007200,WBGene00008078,WBGene00008438,WBGene00008990,WBGene00009478,WBGene00011682,WBGene00011972,WBGene00012150,WBGene00013302,WBGene00015327,WBGene00017284,WBGene00018468,WBGene00019757,WBGene00020861,WBGene00021319,WBGene00022271,WBGene00022534"
GO:0000150,1,WBGene00004297
