Domains,number,ID
GO:0000022,4,"WBGene00001688,WBGene00001689,WBGene00002994,WBGene00006381"
GO:0000027,6,"WBGene00004416,WBGene00007617,WBGene00012692,WBGene00018898,WBGene00019678,WBGene00021830"
GO:0000028,8,"WBGene00004469,WBGene00004483,WBGene00004488,WBGene00004496,WBGene00004497,WBGene00008456,WBGene00013892,WBGene00018891"
GO:0000038,3,"WBGene00000991,WBGene00004061,WBGene00013284"
GO:0000041,3,"WBGene00004876,WBGene00004877,WBGene00004878"
GO:0000045,32,"WBGene00000247,WBGene00001994,WBGene00002980,WBGene00002981,WBGene00002982,WBGene00004266,WBGene00004278,WBGene00006520,WBGene00006786,WBGene00006932,WBGene00008427,WBGene00008432,WBGene00010882,WBGene00011292,WBGene00012559,WBGene00012641,WBGene00013595,WBGene00013643,WBGene00013695,WBGene00013859,WBGene00014080,WBGene00017045,WBGene00017178,WBGene00017999,WBGene00019427,WBGene00019748,WBGene00020324,WBGene00020334,WBGene00021922,WBGene00022078,WBGene00022152,WBGene00022381"
GO:0000050,1,WBGene00020658
GO:0000054,3,"WBGene00001234,WBGene00004302,WBGene00016907"
GO:0000055,3,"WBGene00002078,WBGene00012030,WBGene00012676"
GO:0000056,3,"WBGene00002078,WBGene00011944,WBGene00014078"
GO:0000070,33,"WBGene00000098,WBGene00000099,WBGene00000264,WBGene00000868,WBGene00000875,WBGene00001085,WBGene00001087,WBGene00001829,WBGene00001831,WBGene00001832,WBGene00001833,WBGene00001869,WBGene00002276,WBGene00003159,WBGene00003210,WBGene00003367,WBGene00004166,WBGene00004738,WBGene00004747,WBGene00004874,WBGene00006540,WBGene00006974,WBGene00009254,WBGene00010036,WBGene00010093,WBGene00010425,WBGene00010785,WBGene00011415,WBGene00015515,WBGene00016202,WBGene00017641,WBGene00018900,WBGene00019953"
GO:0000076,4,"WBGene00000413,WBGene00001997,WBGene00006571,WBGene00017738"
GO:0000077,17,"WBGene00000018,WBGene00000226,WBGene00000537,WBGene00001865,WBGene00001997,WBGene00001998,WBGene00002027,WBGene00002042,WBGene00003417,WBGene00008367,WBGene00010067,WBGene00010120,WBGene00012302,WBGene00016944,WBGene00020442,WBGene00021474,WBGene00022512"
GO:0000079,4,"WBGene00013765,WBGene00017311,WBGene00017776,WBGene00022697"
GO:0000082,18,"WBGene00000406,WBGene00000409,WBGene00000863,WBGene00000864,WBGene00000865,WBGene00000866,WBGene00000867,WBGene00000868,WBGene00000870,WBGene00000871,WBGene00007047,WBGene00007922,WBGene00011591,WBGene00017259,WBGene00019362,WBGene00019831,WBGene00020461,WBGene00020744"
GO:0000086,6,"WBGene00000386,WBGene00000387,WBGene00000388,WBGene00000389,WBGene00000405,WBGene00004719"
GO:0000103,1,WBGene00004091
