Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
CSR1IP.N2__N2,25/51 (49.02%),5.06/51 (9.92%),4.942575881870385,1.4343460061855772e-12,4.2294285917119226e-11,7.888903034020675e-11,2.305263115384474,11.843346071505698,10.373718303128317
WT__glp4,27/51 (52.94%),6.11/51 (11.98%),4.418265150229163,1.53797403334979e-12,4.2294285917119226e-11,8.458857183423845e-11,2.1434800007308055,11.81305099695858,10.373718303128317
CSR1IP.gfp_cdk1__CSR1Input.gfp_cdk1,21/51 (41.18%),3.8/51 (7.45%),5.525109170305677,2.5117741783694494e-11,4.6049193270106574e-10,1.3814757981031973e-09,2.466002970911778,10.600019408524233,9.336777973749651
DA1316__Gu.ekl1,23/51 (45.1%),5.55/51 (10.89%),4.140429505135388,6.279379229278201e-10,8.634146440257527e-09,3.45365857610301e-08,2.0497804326493565,9.20208328789092,8.063780589724638
DA1316__ego1,22/51 (43.14%),5.09/51 (9.98%),4.3202281523731925,8.039744121811543e-10,8.843718533992697e-09,4.4218592669963485e-08,2.1111075035012106,9.094757773173646,8.05336508801542
CSR1IP.cdk1_gfp__CSR1Input.cdk1_gfp,15/51 (29.41%),2.7/51 (5.29%),5.561538461538462,3.540772161873059e-08,3.2457078150503045e-07,1.9474246890301826e-06,2.4754840239226636,7.450902017897286,6.488690578786685
Gu.wt.r2__Gu.drh3.r2,17/51 (33.33%),3.74/51 (7.33%),4.5496946141032755,6.4202234603746e-08,4.4879536601235754e-07,3.53112290320603e-06,2.1857697115740247,7.192449855744435,6.347951635989088
CSR1IP.oma1_gfp__CSR1Input.oma1_gfp,15/51 (29.41%),2.83/51 (5.54%),5.308370044052864,6.527932596543382e-08,4.4879536601235754e-07,3.59036292809886e-06,2.408268943826409,7.1852243384913885,6.347951635989088
Lee.46_23__Lee.5_3,12/51 (23.53%),2.02/51 (3.96%),5.938398357289528,5.460574100124431e-07,3.3370175056315963e-06,3.0033157550684367e-05,2.570073874868776,6.262761695132442,5.476641515077523
Gu.wt.r1__Gu.drh3.r1,14/51 (27.45%),3.68/51 (7.22%),3.803833145434048,1.0199195680027764e-05,5.60955762401527e-05,0.000560955762401527,1.927453963986502,4.991434075836006,4.251071386341763
Lee.N2_for_glh.052517__Lee.glh1.glh4.052517,6/51 (11.76%),1.09/51 (2.14%),5.492877492877493,0.0007536358144166614,0.0037681790720833067,0.041449969792916375,2.4575621159254006,3.122838471104321,2.423868466768302
Lee.N2.051611__Lee.prg1.sx922,8/51 (15.69%),2.52/51 (4.94%),3.173662551440329,0.003354380991600091,0.015374246211500417,0.184490954538005,1.6661487377368183,2.4743876116307764,1.8132061681841571
Gu.wt.r1__Gu.mago12,8/51 (15.69%),2.59/51 (5.08%),3.0885062074489387,0.003956077117412273,0.01673724934289808,0.21758424145767502,1.6269092303017494,2.402735251114248,1.776315913926841
Shir.WAGO9IP__Shir.Input.WAGO9IP,3/51 (5.88%),0.58/51 (1.14%),5.1550802139037435,0.020531719359982176,0.07878303160878944,1.0,2.365994876342325,1.6875746805716152,1.1035673113456597
Lee.SRA.N2__Lee.SRA.prg1Mut.N2,7/51 (13.73%),2.82/51 (5.53%),2.4827078734363504,0.021486281347851664,0.07878303160878944,1.0,1.3119145175201745,1.6678387417842222,1.1035673113456597
DA1316__csr1.DA1316,5/51 (9.8%),2.03/51 (3.98%),2.4642126789366054,0.051502709753690055,0.17704056477830957,1.0,1.3011267761650902,1.2881699204711277,0.7519272136328087
Lee.N2.051611__Lee.glh1.050611,3/51 (5.88%),0.9/51 (1.76%),3.339491916859122,0.06087121984160866,0.19693629948755745,1.0,1.7396286222243929,1.2155879950242023,0.7056742269082324
Tang.parn1__Tang.prg1.parn1,4/51 (7.84%),1.53/51 (3.0%),2.6124661246612466,0.06659644651819578,0.20348914213893154,1.0,1.3854123301695656,1.1765489434830214,0.6914587590920838
Conine.N2.fog2.25C.male__Conine.alg34.25C.male,2/51 (3.92%),0.77/51 (1.51%),2.601889338731444,0.1793103554529622,0.51905629210068,1.0,1.3795596039241278,0.746394628529211,0.28478553998779615
Lee.N2_for_glh.052517__Lee.glh1.052517,2/51 (3.92%),0.91/51 (1.78%),2.2084765177548684,0.22922460270823006,0.5832468386515196,1.0,1.1430514926005217,0.6397387713163315,0.23414760651607225
Lee.N2.L4.080816__Lee.fer2.r2.080816,2/51 (3.92%),0.91/51 (1.79%),2.1859410430839,0.23267364803522422,0.5832468386515196,1.0,1.128254490672441,0.6332528009030065,0.23414760651607225
WAGO9IP.cdk1_gfp__WAGO9Input.cdk1_gfp,2/51 (3.92%),0.92/51 (1.8%),2.1785310734463277,0.23382416938711434,0.5832468386515196,1.0,1.1233556912596019,0.6311105997227652,0.23414760651607225
WAGO9IP.oma1_gfp__WAGO9Input.oma1_gfp,2/51 (3.92%),0.97/51 (1.9%),2.0620320855614973,0.2530480407075242,0.5832468386515196,1.0,1.0440667814549627,0.5967970209839423,0.23414760651607225
WAGO1IP__WAGO1Input,3/51 (5.88%),1.75/51 (3.43%),1.7153024911032027,0.2545077114115722,0.5832468386515196,1.0,0.7784630160090353,0.5942990542987101,0.23414760651607225
Lee.N2.L4.080816__Lee.BA6.080816,2/51 (3.92%),1.11/51 (2.18%),1.7968313140726935,0.30621647431507704,0.6736762434931695,1.0,0.8454549754734398,0.5139714481522332,0.17154876733002694
Lee.N2.adult.080816__Lee.glh1.glh4.adult.080816,1/51 (1.96%),0.4/51 (0.79%),2.4974093264248705,0.331153346027914,0.7005166935205873,1.0,1.3204322989618813,0.4799708524119961,0.15458151088857028
Lee.flagprg1.r1__Lee.flagprg1da.r1,1/51 (1.96%),0.49/51 (0.97%),2.0252100840336134,0.3913035226010005,0.7970997682612972,1.0,1.018071572922018,0.4074862424665817,0.09848731713132523
Lee.flagprg1.r2__Lee.flagprg1da.r2,1/51 (1.96%),0.56/51 (1.11%),1.7720588235294117,0.43320127403442565,0.8334165293889689,1.0,0.8254264949796222,0.36331027479531564,0.07913789030635043
Tang.N2__Tang.prg1.parn1,2/51 (3.92%),1.48/51 (2.91%),1.347309573724668,0.43943780640509267,0.8334165293889689,1.0,0.4300813795032939,0.35710258190163824,0.07913789030635043
Lee.N2.r1__Lee.glh4.r1,1/51 (1.96%),0.73/51 (1.43%),1.3693181818181819,0.5209482215065504,0.9163675559072325,1.0,0.4534577175926644,0.28320544029256345,0.03793029545371219
Lee.N2.r2__Lee.glh4.r2,1/51 (1.96%),0.73/51 (1.44%),1.3635077793493635,0.5224591443685728,0.9163675559072325,1.0,0.4473229314205628,0.2819476651576165,0.03793029545371219
Lee.N2_for_glh.052517__Lee.EAglh1.052517,1/51 (1.96%),0.76/51 (1.48%),1.3223593964334706,0.5333973910697406,0.9163675559072325,1.0,0.4031143319030246,0.2729491128433423,0.03793029545371219
WAGO9IP.gfp_cdk1__WAGO9Input.gfp_cdk1,1/51 (1.96%),0.79/51 (1.55%),1.2634338138925294,0.5498205335443395,0.9163675559072325,1.0,0.33735008939543104,0.2597790450700686,0.03793029545371219
Tang.N2__Tang.prg1,1/51 (1.96%),1.5/51 (2.94%),0.6666666666666666,0.7820059552729016,1.0,1.0,-0.5849625007211563,0.10678993960983053,-0.0
Tang.PRG1IP.parn1__Tang.Input.parn1,0/51 (0.0%),0.07/51 (0.14%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Tang.N2.TAP__Tang.parn1.TAP,0/51 (0.0%),0.65/51 (1.27%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Tang.N2__Tang.parn1,0/51 (0.0%),0.36/51 (0.71%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2_for_glh.052517__Lee.FGglh1.052517,0/51 (0.0%),0.26/51 (0.52%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.L4440.052517__Lee.NPP7.052517,0/51 (0.0%),0.08/51 (0.15%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.L4440.052517__Lee.SNPC4.052517,0/51 (0.0%),0.08/51 (0.16%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2_for_damt1.052517__Lee.damt1.052517,0/51 (0.0%),0.41/51 (0.8%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Tang.PRG1IP.N2__Tang.Input.N2,0/51 (0.0%),0.05/51 (0.09%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Tang.N2.r2__Tang.parn1.r2,0/51 (0.0%),0.54/51 (1.07%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.46_27__Lee.2_4,0/51 (0.0%),0.23/51 (0.46%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2.r1__Lee.21ur1349.del.tm6101.r1,0/51 (0.0%),0.1/51 (0.2%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2__Lee.cdkgfp,0/51 (0.0%),0.09/51 (0.17%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2__Lee.46_27,0/51 (0.0%),0.08/51 (0.16%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2__Lee.46_23,0/51 (0.0%),0.08/51 (0.16%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
Lee.N2.051611__Lee.glh4.051611,0/51 (0.0%),0.49/51 (0.97%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0
