GO ID,Bg Count,Hit,Exp,log2FC,Adj P-val Dep
GO:0000932,35,2,0.0228,6.46,1.0
GO:0005634,2715,18,1.7671,3.35,1.0
GO:0005681,80,1,0.0521,4.26,1.0
GO:0005697,2,2,0.0013,10.59,1.0
GO:0005730,184,1,0.1198,3.06,1.0
GO:0005737,2630,14,1.7118,3.03,1.0
GO:0005783,452,7,0.2942,4.57,1.0
GO:0005789,339,6,0.2206,4.77,1.0
GO:0005846,2,1,0.0013,9.59,1.0
GO:0010494,24,3,0.0156,7.59,1.0
GO:0016020,6473,7,4.2132,0.73,1.0
GO:0016592,27,9,0.0176,9.0,1.0
GO:0016607,40,1,0.026,5.26,1.0
GO:0030425,130,1,0.0846,3.56,1.0
GO:0031501,1,1,0.0007,10.59,1.0
GO:0035145,5,2,0.0033,9.26,1.0
GO:0038201,1,1,0.0007,10.59,1.0
GO:0042995,365,1,0.2376,2.07,1.0
GO:0043186,99,3,0.0644,5.54,1.0
GO:0048471,102,4,0.0664,5.91,1.0
GO:0055120,96,1,0.0625,4.0,1.0
GO:0070847,9,9,0.0059,10.59,1.0
GO:1990529,1,1,0.0007,10.59,1.0
