GO ID,Bg Count,Hit,Exp,log2FC,Adj P-val Dep
GO:0000009,2,1,0.0013,9.59,1.0
GO:0000030,7,7,0.0046,10.59,1.0
GO:0000166,1089,3,0.7088,2.08,1.0
GO:0000339,3,1,0.002,9.0,1.0
GO:0000978,301,1,0.1959,2.35,1.0
GO:0003676,335,4,0.218,4.2,1.0
GO:0003712,45,8,0.0293,8.09,1.0
GO:0003713,47,2,0.0306,6.03,1.0
GO:0003723,487,9,0.317,4.83,1.0
GO:0003724,50,1,0.0325,4.94,1.0
GO:0003729,155,6,0.1009,5.89,1.0
GO:0004169,2,2,0.0013,10.59,1.0
GO:0004376,2,2,0.0013,10.59,1.0
GO:0004386,108,2,0.0703,4.83,1.0
GO:0004540,8,1,0.0052,7.59,1.0
GO:0004674,306,1,0.1992,2.33,1.0
GO:0005515,1169,5,0.7609,2.72,1.0
GO:0005524,968,3,0.6301,2.25,1.0
GO:0008047,4,1,0.0026,8.59,1.0
GO:0008270,1049,1,0.6828,0.55,1.0
GO:0016301,547,1,0.356,1.49,1.0
GO:0016740,1144,6,0.7446,3.01,1.0
GO:0016757,287,5,0.1868,4.74,1.0
GO:0016787,1023,3,0.6659,2.17,1.0
GO:0016887,233,1,0.1517,2.72,1.0
GO:0017151,17,1,0.0111,6.5,1.0
GO:0019888,14,1,0.0091,6.78,1.0
GO:0019899,44,1,0.0286,5.13,1.0
GO:0030145,20,1,0.013,6.26,1.0
GO:0036121,1,1,0.0007,10.59,1.0
GO:0042162,10,2,0.0065,8.26,1.0
GO:0046872,1870,3,1.2172,1.3,1.0
GO:0051721,6,2,0.0039,9.0,1.0
GO:0051751,1,1,0.0007,10.59,1.0
GO:0052925,1,1,0.0007,10.59,1.0
GO:0070034,3,2,0.002,10.0,1.0
GO:0106310,133,1,0.0866,3.53,1.0
GO:0140313,1,1,0.0007,10.59,1.0
GO:0140932,3,2,0.002,10.0,1.0
GO:0140933,1,1,0.0007,10.59,1.0
