GO ID,Bg Count,Hit,Exp,log2FC,Adj P-val
GO:0000030,7,7,0.0046,10.59,9.777798949309148e-22
GO:0003712,45,8,0.0293,8.09,5.2740385445422113e-17
GO:0003723,487,9,0.317,4.83,2.606623608320223e-10
GO:0003729,155,6,0.1009,5.89,7.543350810276096e-09
GO:0004376,2,2,0.0013,10.59,2.7361180226362563e-06
GO:0004169,2,2,0.0013,10.59,2.7361180226362563e-06
GO:0016757,287,5,0.1868,4.74,5.4700098396481385e-06
GO:0070034,3,2,0.002,10.0,5.4700098396481385e-06
GO:0140932,3,2,0.002,10.0,5.4700098396481385e-06
GO:0051721,6,2,0.0039,9.0,2.4585017087426213e-05
GO:0042162,10,2,0.0065,8.26,6.69410257880727e-05
GO:0003676,335,4,0.218,4.2,0.00021829600802853236
GO:0016740,1144,6,0.7446,3.01,0.0002602080446086675
GO:0003713,47,2,0.0306,6.03,0.0012446229856488372
GO:0051751,1,1,0.0007,10.59,0.0013702794941955817
GO:0036121,1,1,0.0007,10.59,0.0013702794941955817
GO:0140313,1,1,0.0007,10.59,0.0013702794941955817
GO:0140933,1,1,0.0007,10.59,0.0013702794941955817
GO:0052925,1,1,0.0007,10.59,0.0013702794941955817
GO:0005515,1169,5,0.7609,2.72,0.0017796186791093293
GO:0000009,2,1,0.0013,9.59,0.0024787716224426806
GO:0000339,3,1,0.002,9.0,0.0035480314119393642
GO:0004386,108,2,0.0703,4.83,0.003950383778442488
GO:0008047,4,1,0.0026,8.59,0.004335115890660042
GO:0004540,8,1,0.0052,7.59,0.008312935035210484
GO:0019888,14,1,0.0091,6.78,0.013961694831990099
GO:0017151,17,1,0.0111,6.5,0.016310163054220995
GO:0030145,20,1,0.013,6.26,0.01848565803941672
GO:0005524,968,3,0.6301,2.25,0.03407006558816379
GO:0016787,1023,3,0.6659,2.17,0.036734734362246994
GO:0019899,44,1,0.0286,5.13,0.036734734362246994
GO:0003724,50,1,0.0325,4.94,0.040057814046446705
GO:0000166,1089,3,0.7088,2.08,0.040456284301496614
GO:0106310,133,1,0.0866,3.53,0.09771640588058614
GO:0046872,1870,3,1.2172,1.3,0.13805459597890624
GO:0016887,233,1,0.1517,2.72,0.15674100810170136
GO:0000978,301,1,0.1959,2.35,0.19068540292212707
GO:0004674,306,1,0.1992,2.33,0.19068540292212707
GO:0016301,547,1,0.356,1.49,0.30874470507009594
GO:0008270,1049,1,0.6828,0.55,0.49861723781956596
