Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0000015,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0000109,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0000110,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0000111,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0000112,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0000118,14/49164 (0.02848%),0/32 (0%),0.0,0.9909248983592064,1.0,1.0,-1000.0,0.003959259202040635,-0.0,-0.0
GO:0000123,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0000124,10/49164 (0.02034%),0/32 (0%),0.0,0.9935096111764519,1.0,1.0,-1000.0,0.002827927184555954,-0.0,-0.0
GO:0000126,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0000127,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0000137,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0000138,8/49164 (0.01627%),0/32 (0%),0.0,0.9948044156029935,1.0,1.0,-1000.0,0.0022622957103461015,-0.0,-0.0
