GO ID,Bg Count,Hit,Exp,log2FC,Adj P-val Dep
GO:0000184,16,16,0.0104,10.59,1.0
GO:0000290,5,2,0.0033,9.26,1.0
GO:0000398,102,1,0.0664,3.91,1.0
GO:0000956,29,3,0.0189,7.31,1.0
GO:0002119,211,4,0.1373,4.86,1.0
GO:0005975,141,1,0.0918,3.45,1.0
GO:0006355,540,1,0.3515,1.51,1.0
GO:0006357,510,9,0.332,4.76,1.0
GO:0006370,5,1,0.0033,8.26,1.0
GO:0006397,153,4,0.0996,5.33,1.0
GO:0006406,21,1,0.0137,6.19,1.0
GO:0006417,55,1,0.0358,4.8,1.0
GO:0006486,88,4,0.0573,6.13,1.0
GO:0006505,3,1,0.002,9.0,1.0
GO:0006506,29,2,0.0189,6.73,1.0
GO:0006972,24,1,0.0156,6.0,1.0
GO:0006979,69,3,0.0449,6.06,1.0
GO:0007399,129,1,0.084,3.57,1.0
GO:0008340,249,4,0.1621,4.63,1.0
GO:0008380,107,2,0.0696,4.84,1.0
GO:0009408,62,3,0.0404,6.22,1.0
GO:0009411,19,3,0.0124,7.92,1.0
GO:0009792,305,1,0.1985,2.33,1.0
GO:0010468,132,1,0.0859,3.54,1.0
GO:0016070,9,1,0.0059,7.42,1.0
GO:0016071,6,1,0.0039,8.0,1.0
GO:0016242,2,1,0.0013,9.59,1.0
GO:0016310,2,1,0.0013,9.59,1.0
GO:0018103,1,1,0.0007,10.59,1.0
GO:0030154,329,1,0.2141,2.22,1.0
GO:0030422,20,2,0.013,7.26,1.0
GO:0030538,4,3,0.0026,10.17,1.0
GO:0030539,5,2,0.0033,9.26,1.0
GO:0030968,73,1,0.0475,4.4,1.0
GO:0031047,54,1,0.0351,4.83,1.0
GO:0031053,5,1,0.0033,8.26,1.0
GO:0031087,3,1,0.002,9.0,1.0
GO:0031124,14,1,0.0091,6.78,1.0
GO:0031929,7,1,0.0046,7.78,1.0
GO:0034063,7,2,0.0046,8.78,1.0
GO:0035194,50,3,0.0325,6.53,1.0
GO:0035195,4,1,0.0026,8.59,1.0
GO:0035269,4,2,0.0026,9.59,1.0
GO:0040012,47,3,0.0306,6.62,1.0
GO:0042789,3,1,0.002,9.0,1.0
GO:0043085,2,1,0.0013,9.59,1.0
GO:0043488,3,2,0.002,10.0,1.0
GO:0045727,16,1,0.0104,6.59,1.0
GO:0045893,75,2,0.0488,5.36,1.0
GO:0051028,25,1,0.0163,5.94,1.0
