GO ID,Bg Count,Hit,Exp,log2FC,Adj P-val
GO:0000184,16,16,0.0104,10.59,5.518577059523324e-52
GO:0006357,510,9,0.332,4.76,7.503754015616442e-10
GO:0030538,4,3,0.0026,10.17,1.7022938338629045e-08
GO:0009411,19,3,0.0124,7.92,3.072395423573158e-06
GO:0006486,88,4,0.0573,6.13,3.3820370986316876e-06
GO:0000956,29,3,0.0189,7.31,7.689698148079956e-06
GO:0043488,3,2,0.002,10.0,8.966908987137485e-06
GO:0035269,4,2,0.0026,9.59,1.5685707125613618e-05
GO:0006397,153,4,0.0996,5.33,1.7168304818866158e-05
GO:0030539,5,2,0.0033,9.26,1.742147371995234e-05
GO:0040012,47,3,0.0306,6.62,1.742147371995234e-05
GO:0000290,5,2,0.0033,9.26,1.742147371995234e-05
GO:0035194,50,3,0.0325,6.53,1.886126317039332e-05
GO:0034063,7,2,0.0046,8.78,3.133314652031728e-05
GO:0009408,62,3,0.0404,6.22,3.1374999098042946e-05
GO:0002119,211,4,0.1373,4.86,3.439399664631882e-05
GO:0006979,69,3,0.0449,6.06,3.8233311400100385e-05
GO:0008340,249,4,0.1621,4.63,5.853079153525736e-05
GO:0030422,20,2,0.013,7.26,0.00020778603621196234
GO:0006506,29,2,0.0189,6.73,0.0004202649889993621
GO:0018103,1,1,0.0007,10.59,0.0015807152736613318
GO:0043085,2,1,0.0013,9.59,0.0025526580842654915
GO:0016242,2,1,0.0013,9.59,0.0025526580842654915
GO:0060261,2,1,0.0013,9.59,0.0025526580842654915
GO:0045893,75,2,0.0488,5.36,0.0025526580842654915
GO:0016310,2,1,0.0013,9.59,0.0025526580842654915
GO:0031087,3,1,0.002,9.0,0.003431802796720661
GO:0006505,3,1,0.002,9.0,0.003431802796720661
GO:0042789,3,1,0.002,9.0,0.003431802796720661
GO:0008380,107,2,0.0696,4.84,0.003791527513155922
GO:0035195,4,1,0.0026,8.59,0.0042791789114257186
GO:0006370,5,1,0.0033,8.26,0.005023209648381414
GO:0031053,5,1,0.0033,8.26,0.005023209648381414
GO:0016071,6,1,0.0039,8.0,0.005848717949480328
GO:0031929,7,1,0.0046,7.78,0.0066264581329763496
GO:0016070,9,1,0.0059,7.42,0.008277853660820227
GO:0031124,14,1,0.0091,6.78,0.012508923883255994
GO:0045727,16,1,0.0104,6.59,0.0139109398607814
GO:0006406,21,1,0.0137,6.19,0.01776196935821076
GO:0006972,24,1,0.0156,6.0,0.019773230767721698
GO:0051028,25,1,0.0163,5.94,0.020088424641219748
GO:0031047,54,1,0.0351,4.83,0.04174362086686552
GO:0006417,55,1,0.0358,4.8,0.04174362086686552
GO:0030968,73,1,0.0475,4.4,0.05384125759381848
GO:0000398,102,1,0.0664,3.91,0.0728941424293981
GO:0007399,129,1,0.084,3.57,0.08942893955088539
GO:0010468,132,1,0.0859,3.54,0.08947800944397939
GO:0005975,141,1,0.0918,3.45,0.09332562658897028
GO:0009792,305,1,0.1985,2.33,0.18798649919414914
GO:0030154,329,1,0.2141,2.22,0.19726861069207532
