Feature name,Standard gene name,CDS length
YAL059W,ECM1,639.0
YAL038W,CDC19,1503.0
YAL036C,RBG1,1110.0
YAL035W,FUN12,3009.0
YAL025C,MAK16,921.0
YAL003W,EFB1,621.0
YAR073W,IMD1,1212.0
YAR075W,-,474.0
YJL208C,NUC1,990.0
YJL198W,PHO90,2646.0
YJL191W,RPS14B,417.0
YJL190C,RPS22A,393.0
YJL189W,RPL39,156.0
YJL188C,BUD19,309.0
YJL183W,MNN11,1269.0
YJL177W,RPL17B,555.0
YJL148W,RPA34,702.0
YJL138C,TIF2,1188.0
YJL136C,RPS21B,264.0
YJL125C,GCD14,1152.0
YJL122W,ALB1,528.0
YJL109C,UTP10,5310.0
YJL080C,SCP160,3669.0
YJL069C,UTP18,1785.0
YJL050W,MTR4,3222.0
YJL033W,HCA4,2313.0
YJL014W,CCT3,1605.0
YJL002C,OST1,1431.0
YJR002W,MPP10,1782.0
YJR003C,MRX12,1560.0
YJR007W,SUI2,915.0
YJR014W,TMA22,597.0
YJR041C,URB2,3525.0
YJR043C,POL32,1053.0
YJR063W,RPA12,378.0
YJR064W,CCT5,1689.0
YJR071W,-,369.0
YJR070C,LIA1,978.0
YJR094W-A,RPL43B,279.0
YJR123W,RPS5,678.0
YJR124C,-,1347.0
YJR143C,PMT4,2289.0
YJR145C,RPS4A,786.0
YKL205W,LOS1,3303.0
YKL181W,PRS1,1284.0
YKL180W,RPL17A,555.0
YKL172W,EBP2,1284.0
YKL156W,RPS27A,249.0
YKL154W,SRP102,735.0
YKL144C,RPC25,639.0
YKL143W,LTV1,1392.0
YKL122C,SRP21,504.0
YKL110C,KTI12,942.0
YKL099C,UTP11,753.0
YKL082C,RRP14,1305.0
YKL081W,TEF4,1239.0
YKL080W,VMA5,1179.0
YKL078W,DHR2,2208.0
YKL056C,TMA19,504.0
YKL021C,MAK11,1407.0
YKL009W,MRT4,711.0
YKL006W,RPL14A,417.0
YKR024C,DBP7,2229.0
YKR025W,RPC37,849.0
YKR026C,GCN3,918.0
YKR043C,SHB17,816.0
YKR056W,TRM2,1920.0
YKR057W,RPS21A,264.0
YKR059W,TIF1,1188.0
YKR060W,UTP30,825.0
YKR079C,TRZ1,2517.0
YKR081C,RPF2,1035.0
YKR092C,SRP40,1221.0
YKR094C,RPL40B,387.0
YLL044W,-,447.0
YLL045C,RPL8B,771.0
YLL038C,ENT4,744.0
YLL036C,PRP19,1512.0
YLL035W,GRC3,1899.0
YLL034C,RIX7,2514.0
YLL011W,SOF1,1470.0
YLL008W,DRS1,2259.0
YLR002C,NOC3,1992.0
YLR003C,CMS1,876.0
YLR009W,RLP24,600.0
YLR017W,MEU1,1014.0
YLR029C,RPL15A,615.0
YLR044C,PDC1,1692.0
YLR048W,RPS0B,759.0
YLR051C,FCF2,654.0
YLR060W,FRS1,1788.0
YLR061W,RPL22A,366.0
YLR062C,BUD28,378.0
YLR063W,BMT6,1098.0
YLR065C,ENV10,546.0
YLR073C,RFU1,603.0
YLR074C,BUD20,501.0
YLR075W,RPL10,666.0
YLR076C,-,423.0
YLR083C,EMP70,2004.0
YLR129W,DIP2,2832.0
YLR134W,PDC5,1692.0
YLR146C,SPE4,903.0
YLR150W,STM1,822.0
YLR167W,RPS31,459.0
YLR172C,DPH5,903.0
YLR175W,CBF5,1452.0
YLR183C,TOS4,1470.0
YLR185W,RPL37A,267.0
YLR186W,EMG1,759.0
YLR196W,PWP1,1731.0
YLR197W,NOP56,1515.0
YLR198C,-,360.0
YLR221C,RSA3,663.0
YLR222C,UTP13,2454.0
YLR243W,GPN3,819.0
YLR249W,YEF3,3135.0
YLR264W,RPS28B,204.0
YLR276C,DBP9,1785.0
YLR291C,GCD7,1146.0
YLR293C,GSP1,660.0
YLR325C,RPL38,237.0
YLR333C,RPS25B,327.0
YLR336C,SGD1,2700.0
YLR340W,RPP0,939.0
YLR339C,-,552.0
YLR344W,RPL26A,384.0
YLR367W,RPS22B,393.0
YLR372W,ELO3,1038.0
YLR388W,RPS29A,171.0
YLR397C,AFG2,2343.0
YLR400W,-,474.0
YLR401C,DUS3,2007.0
YLR405W,DUS4,1104.0
YLR409C,UTP21,2820.0
YLR412W,BER1,825.0
YLR413W,INA1,2028.0
YLR432W,IMD3,1572.0
YLR433C,CNA1,1662.0
YLR435W,TSR2,618.0
YLR441C,RPS1A,768.0
YLR447C,VMA6,1038.0
YLR448W,RPL6B,531.0
YLR449W,FPR4,1179.0
YML106W,URA5,681.0
YML093W,UTP14,2700.0
YML082W,-,1950.0
YML080W,DUS1,1272.0
YML073C,RPL6A,531.0
YML063W,RPS1B,768.0
YML060W,OGG1,1131.0
YML056C,IMD4,1575.0
YML043C,RRN11,1524.0
YML026C,RPS18B,441.0
YML024W,RPS17A,411.0
YML022W,APT1,564.0
YML018C,-,1182.0
YMR014W,BUD22,1560.0
YMR049C,ERB1,2424.0
YMR079W,SEC14,915.0
YMR093W,UTP15,1542.0
YMR116C,ASC1,960.0
YMR121C,RPL15B,615.0
YMR128W,ECM16,3804.0
YMR131C,RRB1,1536.0
YMR142C,RPL13B,600.0
YMR143W,RPS16A,432.0
YMR146C,TIF34,1044.0
YMR194W,RPL36A,303.0
YMR212C,EFR3,2349.0
YMR215W,GAS3,1575.0
YMR217W,GUA1,1578.0
YMR229C,RRP5,5190.0
YMR230W,RPS10B,318.0
YMR234W,RNH1,1047.0
YMR235C,RNA1,1224.0
YMR239C,RNT1,1416.0
YMR242C,RPL20A,519.0
YMR243C,ZRC1,1329.0
YMR269W,TMA23,636.0
YMR277W,FCP1,2199.0
YMR290C,HAS1,1518.0
YMR307W,GAS1,1680.0
YMR308C,PSE1,3270.0
YMR309C,NIP1,2439.0
YMR310C,-,954.0
YMR321C,-,318.0
YNL313C,EMW1,2715.0
YNL308C,KRI1,1776.0
YNL303W,-,348.0
YNL302C,RPS19B,435.0
YNL301C,RPL18B,561.0
YNL299W,TRF5,1929.0
YNL292W,PUS4,1212.0
YNL256W,FOL1,2475.0
YNL255C,GIS2,462.0
YNL248C,RPA49,1248.0
YNL247W,-,2304.0
YNL228W,-,777.0
