Feature name,Standard gene name,5'UTR length
YAL038W,CDC19,29.0
YAL036C,RBG1,20.0
YAL035W,FUN12,21.0
YAL025C,MAK16,24.0
YAL003W,EFB1,13.0
YJL198W,PHO90,163.0
YJL191W,RPS14B,17.0
YJL190C,RPS22A,12.0
YJL189W,RPL39,27.0
YJL183W,MNN11,76.0
YJL177W,RPL17B,39.0
YJL148W,RPA34,43.0
YJL138C,TIF2,88.0
YJL136C,RPS21B,21.0
YJL125C,GCD14,33.0
YJL122W,ALB1,29.0
YJL109C,UTP10,38.0
YJL080C,SCP160,183.0
YJL069C,UTP18,23.0
YJL050W,MTR4,183.0
YJL033W,HCA4,29.0
YJL014W,CCT3,32.0
YJL002C,OST1,41.0
YJR002W,MPP10,17.0
YJR007W,SUI2,86.0
YJR014W,TMA22,38.0
YJR041C,URB2,69.0
YJR043C,POL32,55.0
YJR063W,RPA12,36.0
YJR064W,CCT5,48.0
YJR094W-A,RPL43B,39.0
YJR123W,RPS5,37.0
YJR124C,-,43.0
YJR143C,PMT4,67.0
YJR145C,RPS4A,21.0
YKL205W,LOS1,28.0
YKL181W,PRS1,148.0
YKL180W,RPL17A,25.0
YKL172W,EBP2,15.0
YKL156W,RPS27A,10.0
YKL154W,SRP102,76.0
YKL144C,RPC25,62.0
YKL143W,LTV1,55.0
YKL122C,SRP21,31.0
YKL110C,KTI12,176.0
YKL099C,UTP11,61.0
YKL082C,RRP14,74.0
YKL081W,TEF4,28.0
YKL080W,VMA5,92.0
YKL078W,DHR2,19.0
YKL056C,TMA19,109.0
YKL009W,MRT4,41.0
YKL006W,RPL14A,28.0
YKR025W,RPC37,32.0
YKR026C,GCN3,86.0
YKR043C,SHB17,29.0
YKR056W,TRM2,245.0
YKR057W,RPS21A,33.0
YKR059W,TIF1,19.0
YKR060W,UTP30,27.0
YKR079C,TRZ1,17.0
YKR081C,RPF2,41.0
YKR092C,SRP40,30.0
YKR094C,RPL40B,18.0
YLL045C,RPL8B,25.0
YLL036C,PRP19,45.0
YLL035W,GRC3,163.0
YLL034C,RIX7,40.0
YLL011W,SOF1,19.0
YLL008W,DRS1,27.0
YLR002C,NOC3,52.0
YLR003C,CMS1,38.0
YLR009W,RLP24,179.0
YLR017W,MEU1,36.0
YLR029C,RPL15A,26.0
YLR044C,PDC1,32.0
YLR048W,RPS0B,200.0
YLR051C,FCF2,13.0
YLR060W,FRS1,187.0
YLR061W,RPL22A,20.0
YLR063W,BMT6,26.0
YLR065C,ENV10,21.0
YLR073C,RFU1,57.0
YLR074C,BUD20,25.0
YLR075W,RPL10,28.0
YLR076C,-,119.0
YLR083C,EMP70,77.0
YLR129W,DIP2,102.0
YLR134W,PDC5,138.0
YLR146C,SPE4,33.0
YLR167W,RPS31,59.0
YLR172C,DPH5,26.0
YLR175W,CBF5,18.0
YLR183C,TOS4,46.0
YLR185W,RPL37A,19.0
YLR186W,EMG1,46.0
YLR196W,PWP1,74.0
YLR197W,NOP56,38.0
YLR198C,-,147.0
YLR221C,RSA3,39.0
YLR222C,UTP13,21.0
YLR243W,GPN3,80.0
YLR249W,YEF3,42.0
YLR264W,RPS28B,13.0
YLR276C,DBP9,108.0
YLR291C,GCD7,26.0
YLR293C,GSP1,42.0
YLR325C,RPL38,23.0
YLR333C,RPS25B,474.0
YLR336C,SGD1,11.0
YLR340W,RPP0,62.0
YLR344W,RPL26A,37.0
YLR367W,RPS22B,564.0
YLR372W,ELO3,128.0
YLR388W,RPS29A,494.0
YLR401C,DUS3,44.0
YLR409C,UTP21,28.0
YLR412W,BER1,17.0
YLR413W,INA1,45.0
YLR432W,IMD3,115.0
YLR441C,RPS1A,21.0
YLR447C,VMA6,43.0
YLR448W,RPL6B,64.0
YLR449W,FPR4,27.0
YML106W,URA5,219.0
YML082W,-,89.0
YML080W,DUS1,125.0
YML073C,RPL6A,25.0
YML063W,RPS1B,27.0
YML060W,OGG1,43.0
YML056C,IMD4,309.0
YML043C,RRN11,160.0
YML026C,RPS18B,18.0
YML024W,RPS17A,22.0
YML022W,APT1,38.0
YML018C,-,150.0
YMR014W,BUD22,89.0
YMR049C,ERB1,36.0
YMR079W,SEC14,32.0
YMR093W,UTP15,65.0
YMR116C,ASC1,30.0
YMR121C,RPL15B,95.0
YMR128W,ECM16,28.0
YMR131C,RRB1,93.0
YMR142C,RPL13B,16.0
YMR143W,RPS16A,28.0
YMR146C,TIF34,39.0
YMR212C,EFR3,126.0
YMR215W,GAS3,20.0
YMR217W,GUA1,42.0
YMR229C,RRP5,107.0
YMR230W,RPS10B,31.0
YMR234W,RNH1,96.0
YMR235C,RNA1,25.0
YMR239C,RNT1,50.0
YMR242C,RPL20A,90.0
YMR243C,ZRC1,118.0
YMR269W,TMA23,27.0
YMR277W,FCP1,87.0
YMR307W,GAS1,70.0
YMR308C,PSE1,126.0
YMR309C,NIP1,64.0
YMR310C,-,29.0
YNL313C,EMW1,8.0
YNL308C,KRI1,38.0
YNL302C,RPS19B,15.0
